"block","hash","extraData","timestamp","date","duration","num_of_validators","transaction_count","txs_per_sec"
"20015","0x245384938818f1579dd3f3e3ec04e70d4140a1db5a8c9a44c65097e7c3225d6e","0x506172697479","1662669344","2022-09-08T20:35:44.000Z","4","19","184","46.0000"
"20014","0x18187e110a1c037930e47df5e24aa26195045fdf38d3028a2e2dee86faed5e22","0x506172697479","1662669341","2022-09-08T20:35:41.000Z","3","19","172","57.3333"
"20013","0x8f5b00d85cf844dc1ebb7a5d41decd9c16589a4ec5d092e0a679fff9c15faaec","0x506172697479","1662669337","2022-09-08T20:35:37.000Z","4","19","177","44.2500"
"20012","0xcb25a85864cd267659e483035ace335319a521a61f3c344d089ff8f0f6a36556","0x506172697479","1662669334","2022-09-08T20:35:34.000Z","3","19","184","61.3333"
"20011","0xdb2a48074a77e390189cf4c752f834a14c7e61fc9def99376df3956bec7a97c3","0x506172697479","1662669330","2022-09-08T20:35:30.000Z","4","19","101","25.2500"
"20010","0xf1563a36261e90e81da73e35334da62d9b82e07f7c3a4391000ae41b0d83f61e","0x506172697479","1662669327","2022-09-08T20:35:27.000Z","3","19","114","38.0000"
"20009","0xcaa3aea489a6e4f3b778d94794af4c7ef6807ed5b921ec926ac2d9e16059c08a","0x506172697479","1662669325","2022-09-08T20:35:25.000Z","2","19","116","58.0000"
"20008","0x6be838f0f9dab4a08b53d8d55952985c2c8b7c355d223c996f5535940fd9f55c","0x506172697479","1662669321","2022-09-08T20:35:21.000Z","4","19","151","37.7500"
"20007","0x1e9f92d867e84f830427d8f574b6800ddebb5744db9dd3658dade9bd9d89826c","0x506172697479","1662669319","2022-09-08T20:35:19.000Z","2","19","110","55.0000"
"20006","0x9211995ecab6a1dad62782881dbb5750a6ab03c1c1f5c35d4b4d2de9592a8530","0x506172697479","1662669315","2022-09-08T20:35:15.000Z","4","19","106","26.5000"
"20005","0xcfe1b2a3e30ea11759d3d22c12aacdb13e99ffaba9599c1c4024b46f4cb63c4d","0x506172697479","1662669313","2022-09-08T20:35:13.000Z","2","19","133","66.5000"
"20004","0x021d2eed938ec0cd44d6bed28179e2b4b55e0c64e8414f74d3e6d06ee94158ea","0x506172697479","1662669309","2022-09-08T20:35:09.000Z","4","19","151","37.7500"
"20003","0x38a8f88d96ba1d0ead9de48ced9c8f2a3d16e30987ed84d1cecf156b732b427f","0x506172697479","1662669305","2022-09-08T20:35:05.000Z","4","19","136","34.0000"
"20002","0xacee44f1f222a0bbd38edcfd82332d53c3ed6d417f8f0a3bb6ceace5b606112e","0x506172697479","1662669302","2022-09-08T20:35:02.000Z","3","19","102","34.0000"
"20001","0x2691878e35b836a3c2f2d8b3584a9e330c673b64d014dd0c0c98071eb6d012f9","0x506172697479","1662669298","2022-09-08T20:34:58.000Z","4","19","129","32.2500"
"20000","0x68ec9be663192e1557557e53fdc6163d0f86c13a4a10f3419d38d5058f7706de","0x506172697479","1662669295","2022-09-08T20:34:55.000Z","3","19","173","57.6667"
"19999","0x0d3c5df3d61f58fed7892cc1667400bbd143895f59b3aa0f6d9390163f627b3d","0x506172697479","1662669292","2022-09-08T20:34:52.000Z","3","19","135","45.0000"
"19998","0x24c3bc4748992e4427c71277982852e3ee5bc1fe1251cd8e84f57108f929ae44","0x506172697479","1662669288","2022-09-08T20:34:48.000Z","4","19","144","36.0000"
"19997","0x37eae75f2cba482564039336bd6248b2c5297dc205aa5e6e375d85555ad85ad0","0x506172697479","1662669285","2022-09-08T20:34:45.000Z","3","19","162","54.0000"
"19996","0xf1ae50aabcb4f01078216116d2922d55c2cf551c1f98d417f72d7ea1ff1a460b","0x506172697479","1662669282","2022-09-08T20:34:42.000Z","3","19","151","50.3333"
"19995","0x8353666a62929278b15c5e1bec88ba153be4c59b461d0653ef01b8e18d3b6c04","0x506172697479","1662669278","2022-09-08T20:34:38.000Z","4","19","148","37.0000"
"19994","0x4b81df0037fcefb0ba711336078b23c0ef4230dd15b4594e77ac16fa77b528d9","0x506172697479","1662669274","2022-09-08T20:34:34.000Z","4","19","142","35.5000"
"19993","0x5ee9ad09adb945377235262cbe583d8fce9525a52d368344d335822c4cb64fcb","0x506172697479","1662669272","2022-09-08T20:34:32.000Z","2","19","111","55.5000"
"19992","0x043f2a04c9d1aab00b04e7c2217ab32c2d8307eb7a773612f25a4a1aa726eff0","0x506172697479","1662669268","2022-09-08T20:34:28.000Z","4","19","127","31.7500"
"19991","0x0b89cfe756c18430a4b762d178b896c00722ebe41a0755bd0fcecd526f382be1","0x506172697479","1662669265","2022-09-08T20:34:25.000Z","3","19","185","61.6667"
"19990","0x58f990add15cdf64fb36ad52a7d52764ec4e8b0378b71a77f2e932448fc9191b","0x506172697479","1662669261","2022-09-08T20:34:21.000Z","4","19","139","34.7500"
"19989","0x4859e2736be98ac8a50ecdebacd2b34e613ec01bb8f0a60c0d1db57713a5b1f0","0x506172697479","1662669258","2022-09-08T20:34:18.000Z","3","19","168","56.0000"
"19988","0x40a7a1da88af0a817e41c0cc818cc20721e509495eeb0f2a922639b9119394cf","0x506172697479","1662669254","2022-09-08T20:34:14.000Z","4","19","170","42.5000"
"19987","0x357649d839cd7e61572cbf9d8fb4cb496e6fed35c47f255a5c777d60cce4058a","0x506172697479","1662669250","2022-09-08T20:34:10.000Z","4","19","147","36.7500"
"19986","0x994a7c217dbcdbb2df29d5353e8884a583e69f2072bef92a8a8c8cfb78cf30c7","0x506172697479","1662669246","2022-09-08T20:34:06.000Z","4","19","172","43.0000"
"19985","0x437695acb286dea2c58047ef23eaac7003d9de72fd0bc61fb1c1cd82ee5bb4ad","0x506172697479","1662669243","2022-09-08T20:34:03.000Z","3","19","131","43.6667"
"19984","0xbcb6704e3f7e01b92f6dc878e00c89a880a9a760478c615109d763813cde6001","0x506172697479","1662669239","2022-09-08T20:33:59.000Z","4","19","204","51.0000"
"19983","0xe3a2afb52306dd6f06fc575de8d6999ef42c604aa89fbfc3307d2b19b2078697","0x506172697479","1662669235","2022-09-08T20:33:55.000Z","4","19","242","60.5000"
"19982","0xbb5f4e17ea2eaec6e9ebf2396ce5678b92375eafdf201f321ff6e3cb7e22257d","0x506172697479","1662669230","2022-09-08T20:33:50.000Z","5","19","130","26.0000"
"19981","0x287a521445b4cca492ed1313aa61b2a6d2ab18005eea8c1b4b2b36fddc113a20","0x506172697479","1662669226","2022-09-08T20:33:46.000Z","4","19","186","46.5000"
"19980","0x65b29dcd38be85fb95c57b311b7de4890b10a13e932d6907463ed869595ca1f3","0x506172697479","1662669223","2022-09-08T20:33:43.000Z","3","19","176","58.6667"
"19979","0x4ffdbd49049de5f89e59a7807fc1e68cdd9ac0e10ec2b22e9db44ec059ea913b","0x506172697479","1662669219","2022-09-08T20:33:39.000Z","4","19","176","44.0000"
"19978","0x5f63be69e6c4e7ec58a2dcdedb53a50202ecafd0be040cd3e77c4e4b90345784","0x506172697479","1662669215","2022-09-08T20:33:35.000Z","4","19","167","41.7500"
"19977","0xa64b2a56458c5890dedcd616154272924a0611ffca435a29269ddd9103011713","0x506172697479","1662669211","2022-09-08T20:33:31.000Z","4","19","128","32.0000"
"19976","0x3e690abdb0a3d0b6254ea3901280c2cf6729bcd065ace2523e405bede60884d9","0x506172697479","1662669209","2022-09-08T20:33:29.000Z","2","19","1","0.5000"
"19975","0xe97bca6d523a9570115790be915f5f24a5d6eeb1e52aa1b3beb580c8d8a51ad8","0x506172697479","1662668932","2022-09-08T20:28:52.000Z","277","19","0","0.0000"
"19974","0x7f4b33906819f175da412a9971e416e460bc553ecb3cc94547675f24993fea89","0x506172697479","1662668332","2022-09-08T20:18:52.000Z","600","19","0","0.0000"
