"block","hash","extraData","timestamp","date","duration","num_of_validators","transaction_count","txs_per_sec"
"22959","0x2cebd3f52bb0dc085b9e36a501fbb38a1be1f990ad415e0883c5b74eeae9c11f","0x506172697479","1665133090","2022-10-07T08:58:10.000Z","600","16","1","0.0017"
"22958","0x0122ea608eebb88af235659112493a77012794567bf8de072a5600457b089ca3","0x506172697479","1665133038","2022-10-07T08:57:18.000Z","52","16","1","0.0192"
"22957","0xa55132eb0d6b12725892ece15ee71e66c45fcf9523fcca898c91391bd6b1bb60","0x506172697479","1665133010","2022-10-07T08:56:50.000Z","28","16","1","0.0357"
"22956","0xd785c432bbb2a270216abf6b7f4cfec54263e8f7c94ec554cd97c9edba4b9cac","0x506172697479","1665132997","2022-10-07T08:56:37.000Z","13","16","1","0.0769"
"22955","0x0d804b0a803531ad676e0ebcffeb09aa13f5d0a4104552667924977ba8789cb0","0x506172697479","1665132993","2022-10-07T08:56:33.000Z","4","16","1","0.2500"
"22954","0x4f19b5e5df0fa7226b0f3d9cf709ee56d6215bd4435d5d00e3afbfd2cae6bb72","0x506172697479","1665132988","2022-10-07T08:56:28.000Z","5","16","1","0.2000"
"22953","0x9a35d82bdc18e0808adba274695b21392b15878553f602d9b1696df524d57f42","0x506172697479","1665132982","2022-10-07T08:56:22.000Z","6","16","1","0.1667"
"22952","0x44eb4bad72cf904693a4ad0714c5d8c31d43ff5dc5b644472c39941e64b69a98","0x506172697479","1665132684","2022-10-07T08:51:24.000Z","298","16","0","0.0000"
"22951","0xd2dae82f6aa31d7bdd0316b1836ae3119e891f6a286e462776f21759de8b7656","0x506172697479","1665132084","2022-10-07T08:41:24.000Z","600","16","0","0.0000"
"22950","0x0526595fc9ca2c59e8388e08fd7f1033c245c9b1647a9a5346459fbc6e588ccf","0x506172697479","1665132080","2022-10-07T08:41:20.000Z","4","16","2107","526.7500"
"22949","0x630604ab1f0b665e1ba18869d4e8fe74da49bd13c907911f720a96efd358294e","0x506172697479","1665132060","2022-10-07T08:41:00.000Z","20","16","2154","107.7000"
"22948","0x9b08893ccb5c316aeca9a0dbba692ffa98263daf7a23b61b3c8239f13ef730f4","0x506172697479","1665132045","2022-10-07T08:40:45.000Z","15","16","2094","139.6000"
"22947","0x3832d3cdd29f2328f7e3d5b706f2e048b8d74933dd7d9cc401be4379fb3aa902","0x506172697479","1665132033","2022-10-07T08:40:33.000Z","12","16","1781","148.4167"
"22946","0x0b85ee1765ed1734fbf8be0219e65a7e024633ad571d7a44336d544a0b81e1d1","0x506172697479","1665132027","2022-10-07T08:40:27.000Z","6","16","1163","193.8333"
"22945","0x8d109d44e7512bb22c72ef8d31e023f2f020bdaa0c17eae25d14c4831f7560ca","0x506172697479","1665132024","2022-10-07T08:40:24.000Z","3","16","700","233.3333"
"22944","0xb04fd5eec17cb46c6b6040d46ff41bbf4129863769f9659e24278f8d32be7527","0x506172697479","1665132020","2022-10-07T08:40:20.000Z","4","16","1","0.2500"
"22943","0xf37257e1dd984c682d7d88d58a312710e7ef625e56f7a8bb49f03d8e7f08aef5","0x506172697479","1665131973","2022-10-07T08:39:33.000Z","47","16","14","0.2979"
"22942","0xf9036a4ff4674df527ebcef3b5e00c645f65abef5c8a858ae2138009f7088077","0x506172697479","1665131969","2022-10-07T08:39:29.000Z","4","16","144","36.0000"
"22941","0xea2bb3d01df8bf14e048b197a3b8973ddc0c146834dfcec77d1b521729246e2f","0x506172697479","1665131965","2022-10-07T08:39:25.000Z","4","16","139","34.7500"
"22940","0xd8575c8fa3f94ca452c27af76952b521300aac3f3a714ebfbe3d56eb4ede76b4","0x506172697479","1665131961","2022-10-07T08:39:21.000Z","4","16","138","34.5000"
"22939","0xf22eee0bb51356e9635d13b490753cbcf5e0a7e213f316c85166f9fdc0bb6d78","0x506172697479","1665131957","2022-10-07T08:39:17.000Z","4","16","74","18.5000"
